ts	sha	label	wallclock_median	runs	soltty_total	parser	put_char	render	channel	winit	closure	other
2026-05-30T19:37:25Z	cc51496	baseline at cc51496	4.083746	5	18.66	0.40	4.97	0.00	0.64	2.94	8.12	1.59
2026-05-30T19:45:05Z	cc51496	put_ascii_fast (skip char_width)	4.107581	7	20.06	0.35	0.00	0.00	0.86	3.74	12.72	2.39
2026-05-30T19:46:27Z	cc51496	put_ascii_fast retry	4.086557	7	18.62	0.40	1.00	0.00	0.69	3.10	11.94	1.49
2026-05-30T19:48:04Z	cc51496	skip render entirely during burst	3.955919	7	18.80	0.39	0.57	0.00	0.66	15.03	0.00	2.15
2026-05-31T16:08:05Z	f578c57	baseline re-measure	7.431820	10	8.28	0.00	0.00	0.00	1.16	5.60	0.26	1.26
2026-05-31T16:28:13Z	f578c57	truecolor tight inner loop	4.010746	12	5.71	0.00	0.00	0.00	0.35	4.20	0.32	0.84
2026-05-31T16:31:28Z	f578c57	truecolor-inner-loop-v2	3.982900	10	7.58	0.00	0.00	0.00	0.79	4.88	0.34	1.57
2026-05-31T18:05:26Z	f578c57	clean baseline @ HEAD	3.972440	15	7.33	0.00	0.00	0.00	0.69	4.82	0.35	1.47
2026-05-31T21:07:43Z	f578c57	PTY master cfmakeraw	3.253760	10	6.25	0.00	0.00	0.00	0.56	4.33	0.21	1.15
2026-05-31T23:40:37Z	f578c57	PTY cfmakeraw — 15 run confirm	3.235933	15	6.41	0.00	0.00	0.00	0.64	4.21	0.20	1.36
2026-05-31T23:42:16Z	fbae4b9	1MB read buffer	3.305671	10	7.15	0.00	0.00	0.00	0.63	4.96	0.28	1.28
2026-05-31T23:45:16Z	fbae4b9	non-blocking read + EAGAIN	3.255953	10	5.08	0.00	0.00	0.00	0.32	3.38	0.30	1.08
2026-05-31T23:48:12Z	505acf0	worker pinned to CPU 2	3.296020	10	6.20	0.00	0.00	0.00	0.40	4.23	0.33	1.24
2026-05-31T23:50:47Z	505acf0	HEAD 20-run final baseline	3.262216	20	5.66	0.00	0.00	0.00	0.34	3.83	0.29	1.20
2026-06-01T00:00:36Z	61f0d83	io_uring double-buffered	3.245639	10	6.30	0.00	0.00	0.00	0.60	4.18	0.20	1.32
2026-06-01T00:01:55Z	61f0d83	io_uring 2-buf 15-run	3.249904	15	6.03	0.00	0.00	0.00	0.43	3.91	0.35	1.34
2026-06-01T00:03:18Z	61f0d83	io_uring 4-buf	3.245331	12	6.95	0.00	0.00	0.00	0.76	3.97	0.45	1.77
2026-06-01T00:30:42Z	61f0d83	map-buffer-range + STREAM_DRAW	3.240555	12	5.99	0.00	0.00	0.00	0.39	4.06	0.32	1.22
2026-06-01T00:32:25Z	61f0d83	map-buffer-range 20-run	3.243798	20	6.70	0.00	0.00	0.00	0.86	4.19	0.22	1.43
